1	79
2	14
3	55
4	13
seed-to-soil map:
| range {size} | src {seed}   | dst {soil}   |
| range {size}      | src {light}       | dst {temperature} |
| 1                 | 64                | 68                |
| 2                 | 65                | 69                |
| 3                 | 66                | 70                |
| 4                 | 67                | 71                |
| 5                 | 68                | 72                |
| 6                 | 69                | 73                |
| 7                 | 70                | 74                |
| 8                 | 71                | 75                |
| 9                 | 72                | 76                |
| 10                | 73                | 77                |
| 11                | 74                | 78                |
| 12                | 75                | 79                |
| 13                | 76                | 80                |
temperature-to-humidity map:
| range {size}      | src {temperature} | dst {humidity}    |
| 1                 | 69                | 0                 |
| range {size}      | src {temperature} | dst {humidity}    |
| 1                 | 0                 | 1                 |
| 2                 | 1                 | 2                 |
| 3                 | 2                 | 3                 |
| 4                 | 3                 | 4                 |
| 5                 | 4                 | 5                 |
| 6                 | 5                 | 6                 |
| 7                 | 6                 | 7                 |
| 8                 | 7                 | 8                 |
| 9                 | 8                 | 9                 |
| 10                | 9                 | 10                |
| 11                | 10                | 11                |
| 12                | 11                | 12                |
| 13                | 12                | 13                |
| 14                | 13                | 14                |
| 15                | 14                | 15                |
| 16                | 15                | 16                |
| 17                | 16                | 17                |
| 18                | 17                | 18                |
| 19                | 18                | 19                |
| 20                | 19                | 20                |
| 21                | 20                | 21                |
| 22                | 21                | 22                |
| 23                | 22                | 23                |
| 24                | 23                | 24                |
| 25                | 24                | 25                |
| 26                | 25                | 26                |
| 27                | 26                | 27                |
| 28                | 27                | 28                |
| 29                | 28                | 29                |
| 30                | 29                | 30                |
| 31                | 30                | 31                |
| 32                | 31                | 32                |
| 33                | 32                | 33                |
| 34                | 33                | 34                |
| 35                | 34                | 35                |
| 36                | 35                | 36                |
| 37                | 36                | 37                |
| 38                | 37                | 38                |
| 39                | 38                | 39                |
| 40                | 39                | 40                |
| 41                | 40                | 41                |
| 42                | 41                | 42                |
| 43                | 42                | 43                |
| 44                | 43                | 44                |
| 45                | 44                | 45                |
| 46                | 45                | 46                |
| 47                | 46                | 47                |
| 48                | 47                | 48                |
| 49                | 48                | 49                |
| 50                | 49                | 50                |
| 51                | 50                | 51                |
| 52                | 51                | 52                |
| 53                | 52                | 53                |
| 54                | 53                | 54                |
| 55                | 54                | 55                |
| 56                | 55                | 56                |
| 57                | 56                | 57                |
| 58                | 57                | 58                |
| 59                | 58                | 59                |
| 60                | 59                | 60                |
| 61                | 60                | 61                |
| 62                | 61                | 62                |
| 63                | 62                | 63                |
| 64                | 63                | 64                |
| 65                | 64                | 65                |
| 66                | 65                | 66                |
| 67                | 66                | 67                |
| 68                | 67                | 68                |
| 69                | 68                | 69                |
humidity-to-location map:
| range {size}   | src {humidity} | dst {location} |
| 1              | 56             | 60             |
| 2              | 57             | 61             |
| 3              | 58             | 62             |
| 4              | 59             | 63             |
| 5              | 60             | 64             |
| 6              | 61             | 65             |
| 7              | 62             | 66             |
| 8              | 63             | 67             |
| 9              | 64             | 68             |
| 10             | 65             | 69             |
| 11             | 66             | 70             |
| 12             | 67             | 71             |
| 13             | 68             | 72             |
| 14             | 69             | 73             |
| 15             | 70             | 74             |
| 16             | 71             | 75             |
| 17             | 72             | 76             |
| 18             | 73             | 77             |
| 19             | 74             | 78             |
| 20             | 75             | 79             |
| 21             | 76             | 80             |
| 22             | 77             | 81             |
| 23             | 78             | 82             |
| 24             | 79             | 83             |
| 25             | 80             | 84             |
| 26             | 81             | 85             |
| 27             | 82             | 86             |
| 28             | 83             | 87             |
| 29             | 84             | 88             |
| 30             | 85             | 89             |
| 31             | 86             | 90             |
| 32             | 87             | 91             |
| 33             | 88             | 92             |
| 34             | 89             | 93             |
| 35             | 90             | 94             |
| 36             | 91             | 95             |
| 37             | 92             | 96             |
| range {size}   | src {humidity} | dst {location} |
| 1              | 93             | 56             |
| 2              | 94             | 57             |
| 3              | 95             | 58             |
| 4              | 96             | 59             |
